SKU,Product Name,Specs,Features,Material,Price,Target Keywords,Style Guide,Target URL
HP-001,Wireless Noise-Cancelling Headphones,Battery: 5000mAh; Bluetooth: 5.3; Weight: 250g,Active noise cancelling; 40-hour battery life; Touch controls,Aluminum Alloy + Memory Foam,149.99,"wireless headphones, noise cancelling, bluetooth audio, over-ear",Friendly and engaging,https://example.com/products/hp-001
BK-002,Ergonomic Office Chair,Adjustable height: 40–48 in; Recline: 120°; Weight Capacity: 250 lbs,Lumbar support; Breathable mesh; 360° swivel,Reinforced Nylon Frame,229.5,"ergonomic chair, lumbar support, office comfort, adjustable seat",Professional and persuasive,https://example.com/products/bk-002
MB-003,Smart Fitness Band,Screen: 1.5-inch AMOLED; Battery: 7 days; Waterproof: 5ATM,Heart rate monitor; Sleep tracking; Step counter,Silicone + Glass,89,"fitness tracker, smart band, health monitor, waterproof",Energetic and motivational,https://example.com/products/mb-003
KB-004,Mechanical Gaming Keyboard,Switch Type: Red; Backlight: RGB; Connectivity: USB-C,Anti-ghosting; Custom macros; Detachable wrist rest,Aircraft-grade Aluminum,119,"mechanical keyboard, gaming keyboard, RGB lighting, fast response",Casual and youthful,https://example.com/products/kb-004
WM-005,4K Ultra HD Monitor,Resolution: 3840x2160; Refresh Rate: 144Hz; Panel Type: IPS,HDR10 support; Slim bezels; Adjustable stand,Metal + ABS,329.99,"4k monitor, ultra hd display, IPS panel, high refresh rate",Technical and informative,https://example.com/products/wm-005
VC-006,Cordless Vacuum Cleaner,Power: 250W; Runtime: 60 min; Dustbin: 0.7L,HEPA filtration; Wall-mount docking; Lightweight design,ABS Plastic + Steel Tube,189,"cordless vacuum, lightweight vacuum, powerful suction, HEPA filter",Clean and family-oriented,https://example.com/products/vc-006
CP-007,Portable Coffee Maker,Capacity: 350ml; Heating: 90s; Power: USB-C,Self-cleaning; One-touch operation; Compact design,Stainless Steel,79.99,"portable coffee maker, travel coffee, espresso on-the-go",Cozy and inviting,https://example.com/products/cp-007
WF-008,Smart Wi-Fi Plug,Voltage: 120V; Max Load: 15A; Connectivity: Wi-Fi 2.4GHz,Voice control; Energy monitoring; Timer scheduling,Fire-retardant ABS,24.99,"smart plug, wifi plug, home automation, energy saving",Simple and modern,https://example.com/products/wf-008
SP-009,Bluetooth Portable Speaker,Battery: 10h; Range: 30ft; Waterproof: IPX7,Deep bass; Hands-free calling; Compact design,Rubberized Shell,59,"bluetooth speaker, portable speaker, waterproof sound, bass boost",Fun and upbeat,https://example.com/products/sp-009
CL-010,Classic Leather Wallet,Slots: 8 cards; Dimensions: 4.5x3.5 in; RFID-blocking,Slim design; Hand-stitched; Premium leather,Genuine Leather,49.99,"leather wallet, slim wallet, rfid protection, mens accessories",Elegant and trustworthy,https://example.com/products/cl-010
